Numero_dossier_ID,temps_total_sec,temps_total_min
5490705,733.0,12.216666666666667
5490722,308.0,5.133333333333334
5490778,564.0,9.4
5490791,412.0,6.866666666666666
5490796,426.0,7.1
5490799,467.0,7.783333333333333
5490804,742.0,12.366666666666667
5490823,4175.0,69.58333333333333
5490842,531.0,8.85
5490863,212.0,3.533333333333333
5490905,7628.0,127.13333333333334
5490908,1591.0,26.516666666666666
5490949,1021.0,17.016666666666666
5490958,184.0,3.066666666666667
5490973,215.0,3.5833333333333335
5491003,239.0,3.9833333333333334
5491024,381.0,6.35
5491160,316.0,5.266666666666667
5491163,17.0,0.2833333333333333
5491256,1068.0,17.8
5491275,300.0,5.0
5491279,403.0,6.716666666666667
5491293,876.0,14.6
5491294,141.0,2.35
5491295,788.0,13.133333333333333
5491299,248.0,4.133333333333334
5491305,934.0,15.566666666666666
5491317,294.0,4.9
5491335,215.0,3.5833333333333335
5491373,282.0,4.7
5491385,482.0,8.033333333333333
5491458,1180.0,19.666666666666668
5491459,13766.0,229.43333333333334
5491469,1500.0,25.0
5491477,118.0,1.9666666666666666
5491492,297.0,4.95
5491554,570.0,9.5
5491560,266.0,4.433333333333334
5491564,37.0,0.6166666666666667
5491572,160.0,2.6666666666666665
5491575,401.0,6.683333333333334
5491586,10.0,0.16666666666666666
5491603,251.0,4.183333333333334
5491607,214.0,3.566666666666667
5491625,2181.0,36.35
5491657,1067.0,17.783333333333335
5491693,1028.0,17.133333333333333
5491750,866.0,14.433333333333334
5491774,1528.0,25.466666666666665
5491791,3118.0,51.96666666666667
5491828,303.0,5.05
5491865,482.0,8.033333333333333
5491874,404.0,6.733333333333333
5491880,778.0,12.966666666666667
5491895,401.0,6.683333333333334
5491927,1023.0,17.05
5491970,399.0,6.65
5491985,986.0,16.433333333333334
5491991,150.0,2.5
5491994,386.0,6.433333333333334
5491998,641.0,10.683333333333334
5492051,2828.0,47.13333333333333
5492080,1486.0,24.766666666666666
5492094,255.0,4.25
5492142,4274.0,71.23333333333333
5492157,152.0,2.533333333333333
5492208,267.0,4.45
5492245,1416.0,23.6
5492258,189.0,3.15
5492259,602.0,10.033333333333333
5492327,1293.0,21.55
5492337,7332.0,122.2
5492345,601.0,10.016666666666667
5492353,2575.0,42.916666666666664
5492358,198.0,3.3
5492361,1827.0,30.45
5492371,554.0,9.233333333333333
5492429,690.0,11.5
5492434,344.0,5.733333333333333
5492457,1202.0,20.033333333333335
5492520,192.0,3.2
5492523,649.0,10.816666666666666
5492555,890.0,14.833333333333334
5492592,582.0,9.7
5492603,245.0,4.083333333333333
5492626,534.0,8.9
5492640,3942.0,65.7
5492643,976.0,16.266666666666666
5492666,1423.0,23.716666666666665
5492672,151.0,2.5166666666666666
5492683,686.0,11.433333333333334
5492760,440.0,7.333333333333333
5492765,2167.0,36.11666666666667
5492802,504.0,8.4
5492827,133.0,2.216666666666667
5492829,33.0,0.55
5492858,439.0,7.316666666666666
5492931,686.0,11.433333333333334
5492977,766.0,12.766666666666667
5493047,277.0,4.616666666666666
